"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             7";"                            20";"                            33";"                            81";"                           177";"                           302";"                           371";"                           403";"                           130"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           199";"                           201";"                           195";"                           172";"                           151";"                           162";"                           157";"                           137";"                           173"
"106 Ejendomsskatter";"";"                            32";"                            32";"                            29";"                            29";"                            26";"                            31";"                            27";"                            23";"                            28"
"107 Vandafgift";"";"                            31";"                            31";"                            33";"                            32";"                            33";"                            32";"                            25";"                            15";"                            31"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
"109 Renovation";"";"                            18";"                            20";"                            21";"                            20";"                            21";"                            22";"                            22";"                            21";"                            21"
"110 Forsikringer";"";"                            10";"                             9";"                             9";"                            10";"                            11";"                            10";"                            10";"                             9";"                            10"
"111 Afdelingens energiforbrug";"";"                            16";"                            16";"                            16";"                            19";"                            23";"                            25";"                            30";"                            26";"                            20"
"112 Bidrag til boligorganisationen";"";"                            42";"                            42";"                            38";"                            38";"                            35";"                            40";"                            43";"                            43";"                            38"
"112.1 Administrationsbidrag";"";"                            40";"                            41";"                            36";"                            36";"                            34";"                            39";"                            41";"                            41";"                            37"
"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            51";"                            50";"                            49";"                            24";"                             1";"                             0";"                             0";"                             0";"                            23"
"119.9 Variable udgifter i alt";"";"                           106";"                           108";"                           113";"                           108";"                           104";"                           107";"                           104";"                           109";"                           108"
"114 Renholdelse";"";"                            57";"                            60";"                            61";"                            58";"                            56";"                            58";"                            62";"                            59";"                            59"
"115 Almindelig vedligeholdelse";"";"                            34";"                            34";"                            34";"                            32";"                            31";"                            30";"                            26";"                            24";"                            32"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             1";"                             3";"                             1"
"116.1 Afholdte udgifter";"";"                            72";"                            92";"                            87";"                            75";"                            67";"                            57";"                            54";"                            29";"                            73"
"116.2 Heraf dækkes af henlæggelser";"";"                           -71";"                           -92";"                           -86";"                           -75";"                           -67";"                           -57";"                           -54";"                           -27";"                           -73"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             0";"                             1";"                             1"
"117.1 Afholdte udgifter";"";"                            20";"                            21";"                            20";"                            19";"                            17";"                            17";"                            13";"                             8";"                            18"
"117.2 Heraf dækkes af henlæggelser";"";"                           -20";"                           -20";"                           -19";"                           -18";"                           -15";"                           -16";"                           -12";"                            -7";"                           -17"
"118 Særlige aktiviteter";"";"                             8";"                             7";"                            10";"                            10";"                             8";"                            12";"                             8";"                            12";"                             9"
"119 Diverse udgifter";"";"                             6";"                             5";"                             6";"                             7";"                             7";"                             6";"                             7";"                            11";"                             6"
"124.8 Henlæggelser i alt";"";"                           102";"                           106";"                           105";"                            97";"                            96";"                            76";"                            80";"                            75";"                            96"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            76";"                            81";"                            81";"                            74";"                            67";"                            58";"                            63";"                            54";"                            72"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             8";"                            11";"                            12";"                            14";"                            11";"                            12";"                             9";"                             6";"                            12"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            13";"                            10";"                             7";"                             5";"                             4";"                             3";"                             5";"                            10";"                             6"
"122.1 Fælleskonto (konto 403)";"";"                             3";"                             3";"                             2";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             9";"                             7";"                             5";"                             4";"                             3";"                             3";"                             4";"                             9";"                             4"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             4";"                             3";"                             3";"                             5";"                             3";"                             2";"                             3";"                             3"
"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             2";"                             1";"                             8";"                             0";"                             0";"                             2";"                             3"
"137 Ekstraordinære udgifter i alt";"";"                           114";"                            94";"                            81";"                            83";"                            81";"                            24";"                            19";"                            20";"                            73"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            94";"                            70";"                            65";"                            49";"                            32";"                             6";"                             4";"                             1";"                            44"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             5";"                             7";"                             5";"                             6";"                             2";"                             3";"                             2";"                             5"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             1";"                             1";"                            19";"                            25";"                             2";"                             0";"                             0";"                            11"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             2";"                             3";"                             2";"                             2";"                             4";"                             1";"                             1";"                             0";"                             2"
"129 Tab ved lejelejlighed m.v.";"";"                            -0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             1";"                             2";"                             0"
"129.1 Afholdte udgifter";"";"                             0";"                             1";"                             1";"                             1";"                             3";"                             1";"                             1";"                             3";"                             1"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -1";"                            -1";"                            -1";"                            -2";"                            -1";"                            -1";"                            -1";"                            -1"
"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1";"                             1"
"130.1 Afholdte udgifter";"";"                             4";"                             3";"                             3";"                             3";"                             5";"                             4";"                             2";"                             2";"                             4"
"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -3";"                            -2";"                            -3";"                            -4";"                            -3";"                            -1";"                            -1";"                            -3"
"131 Andre renter";"";"                             0";"                             1";"                             1";"                             0";"                             2";"                             1";"                             1";"                             6";"                             1"
"132 Ydelser vedr. driftsstøtte";"";"                            11";"                            12";"                             2";"                             3";"                             3";"                             4";"                             4";"                             4";"                             4"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             2";"                             1";"                             2";"                             3";"                             3";"                             2";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             1";"                             0";"                             1";"                             2";"                             3";"                             2";"                             1";"                             3";"                             2"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             0";"                             1"
"139 Udgifter i alt";"";"                           528";"                           528";"                           527";"                           541";"                           608";"                           671";"                           731";"                           745";"                           580"
"140 Overskud i alt";"";"                            17";"                            14";"                            13";"                            12";"                             9";"                            11";"                            15";"                            27";"                            12"
"140.1 Afvikling af opsamlet underskud";"";"                             3";"                             3";"                             3";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
"140.2 Henlæggelser";"";"                            15";"                            11";"                            10";"                            10";"                             7";"                             9";"                            12";"                            25";"                            10"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           546";"                           543";"                           539";"                           553";"                           617";"                           683";"                           745";"                           772";"                           593"

