"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"Region";" ";" ";"                            14";"                            19";"                            37";"                            92";"                           196";"                           343";"                           453";"                           615";"-";"                           172"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           268";"                           296";"                           286";"                           249";"                           219";"                           215";"                           220";"                           185";"-";"                           246"
;"106 Ejendomsskatter";"";"                            59";"                            71";"                            66";"                            65";"                            59";"                            65";"                            56";"                            51";"-";"                            63"
;"107 Vandafgift";"";"                            44";"                            49";"                            54";"                            48";"                            50";"                            38";"                            39";"                            14";"-";"                            47"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"-";"                             0"
;"109 Renovation";"";"                            20";"                            25";"                            26";"                            26";"                            27";"                            28";"                            27";"                            26";"-";"                            26"
;"110 Forsikringer";"";"                            11";"                            14";"                            14";"                            14";"                            16";"                            14";"                            14";"                            12";"-";"                            14"
;"111 Afdelingens energiforbrug";"";"                            18";"                            18";"                            20";"                            23";"                            24";"                            25";"                            32";"                            33";"-";"                            23"
;"112 Bidrag til boligorganisationen";"";"                            52";"                            57";"                            47";"                            46";"                            43";"                            45";"                            51";"                            50";"-";"                            47"
;"112.1 Administrationsbidrag";"";"                            49";"                            56";"                            45";"                            44";"                            41";"                            43";"                            49";"                            48";"-";"                            45"
;"112.2 Dispositionsfond";"";"                             3";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"-";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            63";"                            62";"                            59";"                            27";"                             1";"                             0";"                             0";"                             0";"-";"                            26"
;"119.9 Variable udgifter i alt";"";"                           138";"                           150";"                           158";"                           153";"                           153";"                           147";"                           154";"                           145";"-";"                           152"
;"114 Renholdelse";"";"                            80";"                            92";"                            92";"                            90";"                            84";"                            85";"                            91";"                            86";"-";"                            88"
;"115 Almindelig vedligeholdelse";"";"                            40";"                            37";"                            41";"                            37";"                            37";"                            37";"                            33";"                            29";"-";"                            37"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             2";"                             1";"                             1";"                             1";"                             2";"                             0";"                             1";"-";"                             1"
;"116.1 Afholdte udgifter";"";"                           119";"                           152";"                           126";"                           118";"                           106";"                           105";"                           105";"                            61";"-";"                           115"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -119";"                          -150";"                          -125";"                          -117";"                          -105";"                          -103";"                          -105";"                           -61";"-";"                          -114"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             1";"                             1";"                             1";"                             0";"                             3";"                             1";"                             1";"                             1";"-";"                             1"
;"117.1 Afholdte udgifter";"";"                            23";"                            26";"                            22";"                            18";"                            19";"                            19";"                            20";"                            14";"-";"                            20"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -22";"                           -25";"                           -20";"                           -18";"                           -17";"                           -18";"                           -19";"                           -12";"-";"                           -19"
;"118 Særlige aktiviteter";"";"                             9";"                            12";"                            14";"                            15";"                            17";"                            14";"                            18";"                            20";"-";"                            15"
;"119 Diverse udgifter";"";"                             7";"                             7";"                             8";"                            10";"                            11";"                             8";"                            10";"                             8";"-";"                             9"
;"124.8 Henlæggelser i alt";"";"                           165";"                           189";"                           164";"                           152";"                           157";"                           141";"                           129";"                           103";"-";"                           154"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           134";"                           150";"                           135";"                           123";"                           111";"                           104";"                           104";"                            79";"-";"                           120"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                             9";"                            12";"                            11";"                             9";"                            14";"                            13";"                             9";"-";"                            11"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            11";"                            19";"                            10";"                             7";"                             9";"                             5";"                             6";"                             9";"-";"                             9"
