"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"Region";" ";" ";"                            13";"                            19";"                            37";"                            94";"                           192";"                           337";"                           427";"                           533";"                           162"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           231";"                           251";"                           241";"                           215";"                           187";"                           187";"                           191";"                           172";"                           212"
;"106 Ejendomsskatter";"";"                            48";"                            57";"                            52";"                            52";"                            46";"                            54";"                            47";"                            42";"                            50"
;"107 Vandafgift";"";"                            36";"                            38";"                            41";"                            39";"                            42";"                            33";"                            32";"                            16";"                            38"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            20";"                            23";"                            25";"                            24";"                            24";"                            26";"                            26";"                            26";"                            24"
;"110 Forsikringer";"";"                            11";"                            12";"                            12";"                            12";"                            14";"                            13";"                            13";"                            11";"                            13"
;"111 Afdelingens energiforbrug";"";"                            17";"                            16";"                            17";"                            21";"                            24";"                            20";"                            29";"                            30";"                            21"
;"112 Bidrag til boligorganisationen";"";"                            44";"                            50";"                            41";"                            42";"                            38";"                            41";"                            45";"                            47";"                            42"
;"112.1 Administrationsbidrag";"";"                            42";"                            49";"                            40";"                            40";"                            36";"                            39";"                            43";"                            45";"                            40"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            56";"                            55";"                            52";"                            24";"                             1";"                             0";"                             0";"                             0";"                            23"
;"119.9 Variable udgifter i alt";"";"                           118";"                           125";"                           133";"                           128";"                           129";"                           126";"                           131";"                           129";"                           129"
;"114 Renholdelse";"";"                            64";"                            74";"                            74";"                            73";"                            69";"                            68";"                            75";"                            71";"                            72"
;"115 Almindelig vedligeholdelse";"";"                            39";"                            33";"                            38";"                            34";"                            33";"                            32";"                            28";"                            25";"                            34"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             2";"                             1"
;"116.1 Afholdte udgifter";"";"                            90";"                           104";"                            97";"                            85";"                            85";"                            73";"                            77";"                            43";"                            86"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -90";"                          -104";"                           -96";"                           -85";"                           -85";"                           -72";"                           -76";"                           -41";"                           -86"
