"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            18";"                            26";"                            36";"                            72";"                           165";"                           321";"                           428";"                           568";"                           591";"                           161"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           277";"                           275";"                           265";"                           225";"                           186";"                           218";"                           212";"                           174";"                           167";"                           225"
"106 Ejendomsskatter";"";"                            58";"                            53";"                            50";"                            47";"                            43";"                            59";"                            45";"                            32";"                            33";"                            47"
"107 Vandafgift";"";"                            33";"                            31";"                            35";"                            31";"                            23";"                            29";"                            26";"                            12";"                             4";"                            28"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"109 Renovation";"";"                            26";"                            27";"                            25";"                            24";"                            23";"                            27";"                            26";"                            23";"                            23";"                            24"
"110 Forsikringer";"";"                            16";"                            14";"                            15";"                            14";"                            16";"                            16";"                            15";"                            12";"                            13";"                            15"
"111 Afdelingens energiforbrug";"";"                            19";"                            20";"                            20";"                            22";"                            25";"                            29";"                            33";"                            32";"                            31";"                            24"
"112 Bidrag til boligorganisationen";"";"                            63";"                            68";"                            60";"                            58";"                            54";"                            60";"                            66";"                            62";"                            62";"                            60"
"112.1 Administrationsbidrag";"";"                            59";"                            63";"                            56";"                            54";"                            50";"                            56";"                            61";"                            57";"                            56";"                            55"
"112.2 Dispositionsfond";"";"                             3";"                             5";"                             4";"                             4";"                             4";"                             3";"                             4";"                             5";"                             5";"                             4"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            62";"                            62";"                            60";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            27"
"119.9 Variable udgifter i alt";"";"                           131";"                           140";"                           147";"                           144";"                           140";"                           143";"                           148";"                           134";"                           120";"                           142"
"114 Renholdelse";"";"                            87";"                            91";"                            94";"                            89";"                            87";"                            91";"                            95";"                            81";"                            68";"                            89"
"115 Almindelig vedligeholdelse";"";"                            26";"                            30";"                            32";"                            31";"                            30";"                            28";"                            31";"                            28";"                            28";"                            30"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                            -0";"                            -0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
"116.1 Afholdte udgifter";"";"                           133";"                           138";"                           127";"                           117";"                           100";"                           117";"                           123";"                            84";"                            44";"                           114"
"116.2 Heraf dækkes af henlæggelser";"";"                          -133";"                          -139";"                          -127";"                          -116";"                           -99";"                          -116";"                          -122";"                           -83";"                           -42";"                          -114"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"117.1 Afholdte udgifter";"";"                            17";"                            19";"                            18";"                            15";"                            14";"                            15";"                            15";"                            13";"                             6";"                            16"
"117.2 Heraf dækkes af henlæggelser";"";"                           -17";"                           -19";"                           -18";"                           -15";"                           -14";"                           -15";"                           -15";"                           -13";"                            -6";"                           -15"
"118 Særlige aktiviteter";"";"                            10";"                            11";"                            13";"                            14";"                            12";"                            14";"                            11";"                            12";"                             8";"                            12"
"119 Diverse udgifter";"";"                             8";"                             8";"                             8";"                             9";"                             9";"                             9";"                            10";"                            11";"                            14";"                             9"
"124.8 Henlæggelser i alt";"";"                           237";"                           216";"                           223";"                           195";"                           211";"                           198";"                           176";"                           144";"                           113";"                           201"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           206";"                           180";"                           178";"                           154";"                           156";"                           161";"                           150";"                           121";"                            92";"                           160"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            13";"                            15";"                            13";"                            13";"                            14";"                            14";"                            11";"                             9";"                            13"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            14";"                            12";"                             8";"                             8";"                             8";"                             5";"                             6";"                             7";"                             5";"                             8"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             4";"                             3";"                             2";"                             3";"                             1";"                             1";"                             1";"                             1";"                             3"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            11";"                             8";"                             6";"                             6";"                             5";"                             4";"                             5";"                             5";"                             3";"                             6"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             5";"                             3";"                             4";"                             4";"                             3";"                             5";"                             2";"                             3";"                             4"
"124 Andre henlæggelser (konto 406)";"";"                             1";"                             6";"                            18";"                            16";"                            30";"                            17";"                             2";"                             3";"                             4";"                            16"
"137 Ekstraordinære udgifter i alt";"";"                           134";"                           149";"                           144";"                           179";"                           216";"                            86";"                            51";"                            26";"                            28";"                           148"
