"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"Region";" ";" ";"                            14";"                            20";"                            40";"                            86";"                           178";"                           334";"                           481";"                           684";"                           689";"                           194"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           299";"                           346";"                           320";"                           277";"                           232";"                           256";"                           259";"                           222";"                           208";"                           274"
;"106 Ejendomsskatter";"";"                            77";"                            91";"                            84";"                            80";"                            70";"                            96";"                            76";"                            62";"                            70";"                            80"
;"107 Vandafgift";"";"                            26";"                            39";"                            43";"                            37";"                            32";"                            26";"                            31";"                            14";"                             6";"                            33"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            31";"                            35";"                            34";"                            33";"                            33";"                            36";"                            36";"                            31";"                            27";"                            33"
;"110 Forsikringer";"";"                            19";"                            19";"                            19";"                            17";"                            18";"                            18";"                            19";"                            16";"                            16";"                            18"
;"111 Afdelingens energiforbrug";"";"                            16";"                            17";"                            18";"                            20";"                            20";"                            19";"                            29";"                            30";"                            27";"                            21"
;"112 Bidrag til boligorganisationen";"";"                            64";"                            74";"                            61";"                            63";"                            59";"                            61";"                            69";"                            68";"                            62";"                            63"
;"112.1 Administrationsbidrag";"";"                            60";"                            69";"                            58";"                            59";"                            54";"                            57";"                            63";"                            62";"                            56";"                            59"
;"112.2 Dispositionsfond";"";"                             3";"                             4";"                             2";"                             3";"                             4";"                             3";"                             4";"                             4";"                             5";"                             3"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            66";"                            71";"                            61";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            26"
;"119.9 Variable udgifter i alt";"";"                           125";"                           145";"                           154";"                           147";"                           143";"                           143";"                           153";"                           150";"                           121";"                           145"
;"114 Renholdelse";"";"                            90";"                           109";"                           105";"                           105";"                           106";"                           100";"                           111";"                            95";"                            74";"                           103"
;"115 Almindelig vedligeholdelse";"";"                            15";"                            12";"                            25";"                            17";"                            17";"                            18";"                            15";"                            16";"                            17";"                            18"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                            -0";"                             1";"                             3";"                             1";"                             0";"                             1";"                             2";"                             2";"                             5";"                             1"
;"116.1 Afholdte udgifter";"";"                           264";"                           235";"                           200";"                           157";"                           185";"                           169";"                           175";"                           146";"                            90";"                           182"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -264";"                          -234";"                          -197";"                          -156";"                          -184";"                          -167";"                          -173";"                          -144";"                           -85";"                          -180"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
;"117.1 Afholdte udgifter";"";"                            14";"                            21";"                            19";"                            15";"                            15";"                            12";"                            15";"                            14";"                             7";"                            16"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -14";"                           -21";"                           -19";"                           -15";"                           -15";"                           -12";"                           -15";"                           -13";"                            -7";"                           -15"
;"118 Særlige aktiviteter";"";"                            10";"                            12";"                            13";"                            15";"                            11";"                            15";"                            13";"                            24";"                            13";"                            13"
;"119 Diverse udgifter";"";"                            11";"                            10";"                             8";"                             9";"                             9";"                             9";"                            11";"                            13";"                            13";"                             9"
;"124.8 Henlæggelser i alt";"";"                           312";"                           319";"                           343";"                           259";"                           297";"                           257";"                           236";"                           209";"                           144";"                           282"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           271";"                           295";"                           256";"                           215";"                           199";"                           216";"                           216";"                           193";"                           127";"                           224"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             6";"                             4";"                             7";"                             5";"                             5";"                             5";"                             7";"                             6";"                             6";"                             6"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            11";"                            18";"                            10";"                            10";"                             9";"                             5";"                             7";"                             8";"                             3";"                             9"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             1";"                             2";"                             1";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            11";"                            17";"                             8";"                             9";"                             9";"                             5";"                             7";"                             7";"                             3";"                             9"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             2";"                             3";"                             3";"                             3";"                             2";"                             2";"                             1";"                             2";"                             2"
;"124 Andre henlæggelser (konto 406)";"";"                            22";"                             0";"                            67";"                            27";"                            80";"                            29";"                             3";"                             1";"                             6";"                            40"
;"137 Ekstraordinære udgifter i alt";"";"                           168";"                           152";"                           185";"                           250";"                           276";"                           122";"                            67";"                            31";"                            34";"                           185"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           109";"                            99";"                           106";"                           114";"                            88";"                            50";"                            30";"                             7";"                             1";"                            83"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                            14";"                            11";"                            19";"                            22";"                            12";"                             8";"                             6";"                             2";"                             1";"                            13"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            13";"                            11";"                            39";"                            81";"                           141";"                            31";"                             8";"                             1";"                             0";"                            59"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129.1 Afholdte udgifter";"";"                             1";"                             2";"                             2";"                             3";"                             2";"                             3";"                             2";"                             2";"                             1";"                             2"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -2";"                            -2";"                            -3";"                            -2";"                            -3";"                            -2";"                            -2";"                            -1";"                            -2"
;"130 Tab ved fraflytning";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"130.1 Afholdte udgifter";"";"                             8";"                             9";"                             6";"                             6";"                             7";"                             6";"                             6";"                             3";"                             2";"                             6"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -5";"                            -4";"                            -4";"                            -3";"                            -3";"                            -3";"                            -3";"                            -2";"                            -1";"                            -3"
;"131 Andre renter";"";"                            17";"                            10";"                             9";"                            11";"                            14";"                             9";"                             9";"                             9";"                            15";"                            11"
;"132 Ydelser vedr. driftsstøtte";"";"                            12";"                            19";"                             9";"                            13";"                            11";"                            11";"                             9";"                             3";"                             0";"                            11"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             0";"                             1";"                             1";"                             2";"                             1";"                             2";"                             5";"                             1"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             1";"                             2";"                             3";"                             4";"                             7";"                             3";"                             6";"                             8";"                             3"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             3";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             3";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             1";"                             0";"                             5";"                             4";"                             4";"                             1";"                             1";"                             0";"                             3"
;"139 Udgifter i alt";"";"                           918";"                           983";"                         1.042";"                         1.019";"                         1.127";"                         1.112";"                         1.196";"                         1.297";"                         1.196";"                         1.081"
;"140 Overskud i alt";"";"                            16";"                            14";"                            16";"                            18";"                            20";"                            13";"                            20";"                            19";"                            33";"                            18"
;"140.1 Afvikling af opsamlet underskud";"";"                             4";"                             4";"                             5";"                             4";"                             4";"                             3";"                             1";"                             1";"                             1";"                             4"
;"140.2 Henlæggelser";"";"                            12";"                            10";"                            11";"                            14";"                            16";"                            10";"                            19";"                            18";"                            32";"                            14"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                           934";"                           997";"                         1.058";"                         1.038";"                         1.147";"                         1.125";"                         1.217";"                         1.315";"                         1.230";"                         1.099"
"Sjælland   ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            83";"                            69";"                            57";"                            75";"                           222";"                           361";"                           442";"                           622";"                           660";"                           279"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           236";"                           256";"                           233";"                           212";"                           188";"                           204";"                           193";"                           172";"                           151";"                           202"
;"106 Ejendomsskatter";"";"                            33";"                            48";"                            38";"                            38";"                            44";"                            57";"                            33";"                            23";"                            29";"                            43"
;"107 Vandafgift";"";"                            45";"                            29";"                            22";"                            25";"                            25";"                            21";"                            23";"                             9";"                             3";"                            22"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            36";"                            37";"                            34";"                            33";"                            33";"                            39";"                            36";"                            33";"                            30";"                            35"
;"110 Forsikringer";"";"                            15";"                            17";"                            16";"                            17";"                            17";"                            16";"                            16";"                            14";"                            15";"                            16"
;"111 Afdelingens energiforbrug";"";"                            26";"                            14";"                            14";"                            18";"                            17";"                            12";"                            20";"                            29";"                            15";"                            17"
;"112 Bidrag til boligorganisationen";"";"                            45";"                            61";"                            58";"                            59";"                            52";"                            60";"                            65";"                            64";"                            59";"                            59"
;"112.1 Administrationsbidrag";"";"                            41";"                            55";"                            53";"                            54";"                            48";"                            56";"                            60";"                            59";"                            55";"                            54"
;"112.2 Dispositionsfond";"";"                             1";"                             4";"                             4";"                             4";"                             3";"                             2";"                             4";"                             3";"                             3";"                             3"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            36";"                            50";"                            50";"                            21";"                             0";"                             0";"                             0";"                             0";"                             0";"                            11"
;"119.9 Variable udgifter i alt";"";"                            98";"                           118";"                           117";"                           137";"                           126";"                           124";"                           129";"                           132";"                           102";"                           125"
;"114 Renholdelse";"";"                            70";"                            82";"                            85";"                           102";"                            90";"                            90";"                            92";"                            88";"                            67";"                            90"
;"115 Almindelig vedligeholdelse";"";"                            14";"                            18";"                            16";"                            17";"                            19";"                            18";"                            19";"                            17";"                            20";"                            18"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             5";"                             0";"                            -0";"                             1";"                             0";"                             0";"                             3";"                             2";"                             1"
;"116.1 Afholdte udgifter";"";"                           298";"                           145";"                           134";"                           143";"                           150";"                           159";"                           144";"                           140";"                            77";"                           146"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -298";"                          -140";"                          -134";"                          -143";"                          -149";"                          -159";"                          -144";"                          -137";"                           -75";"                          -146"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"117.1 Afholdte udgifter";"";"                            14";"                            16";"                            12";"                            14";"                            16";"                            14";"                            14";"                            11";"                             6";"                            14"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -14";"                           -16";"                           -12";"                           -14";"                           -16";"                           -14";"                           -14";"                           -11";"                            -6";"                           -14"
;"118 Særlige aktiviteter";"";"                             4";"                             7";"                            11";"                            13";"                            11";"                            10";"                            10";"                            16";"                             5";"                            11"
;"119 Diverse udgifter";"";"                            10";"                             5";"                             5";"                             6";"                             5";"                             5";"                             8";"                             7";"                             9";"                             6"
;"124.8 Henlæggelser i alt";"";"                           608";"                           344";"                           253";"                           283";"                           246";"                           238";"                           266";"                           193";"                           151";"                           255"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           530";"                           272";"                           218";"                           236";"                           194";"                           205";"                           192";"                           174";"                           137";"                           208"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            34";"                            11";"                            12";"                             6";"                            11";"                            11";"                            11";"                            10";"                             8";"                            10"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                             0";"                             0";"                             1";"                             1";"                             1";"                             3";"                             4";"                             1";"                             0";"                             2"
;"122.1 Fælleskonto (konto 403)";"";"                             0";"                             0";"                             1";"                             1";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             0";"                             0";"                             0";"                             1";"                             1";"                             2";"                             4";"                             0";"                             0";"                             1"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             1";"                             2";"                             3";"                             4";"                             2";"                             2";"                             2";"                             2";"                             3";"                             3"
;"124 Andre henlæggelser (konto 406)";"";"                            43";"                            59";"                            20";"                            36";"                            37";"                            17";"                            57";"                             6";"                             3";"                            31"
;"137 Ekstraordinære udgifter i alt";"";"                           162";"                           147";"                           165";"                           191";"                           227";"                           101";"                            62";"                            24";"                            65";"                           140"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           103";"                            84";"                            82";"                            80";"                            62";"                            62";"                            18";"                             6";"                             2";"                            57"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             9";"                             8";"                            11";"                             6";"                            21";"                             9";"                            10";"                             1";"                            38";"                            12"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                            25";"                            17";"                            58";"                            82";"                           113";"                             9";"                            12";"                             1";"                             0";"                            47"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129.1 Afholdte udgifter";"";"                             2";"                             4";"                             5";"                             1";"                             2";"                             1";"                             4";"                             2";"                             3";"                             3"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -2";"                            -4";"                            -5";"                            -1";"                            -1";"                            -1";"                            -4";"                            -2";"                            -2";"                            -2"
;"130 Tab ved fraflytning";"";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             0";"                             0";"                             0";"                             0"
;"130.1 Afholdte udgifter";"";"                             3";"                             8";"                             4";"                             8";"                             9";"                             8";"                             6";"                             4";"                             1";"                             7"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -2";"                            -3";"                            -3";"                            -3";"                            -4";"                            -3";"                            -2";"                            -2";"                            -1";"                            -3"
;"131 Andre renter";"";"                            23";"                            11";"                            10";"                             9";"                             8";"                             9";"                             8";"                            10";"                             7";"                             9"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             4";"                             0";"                             0";"                             4";"                             0";"                             0";"                             0";"                             0";"                             1"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             2";"                             1";"                             0";"                             3";"                             2";"                             3";"                             1";"                             1";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                            21";"                             2";"                             6";"                            11";"                             8";"                            10";"                             4";"                            16";"                             9"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                             0";"                             0";"                             0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                            -1";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             0";"                             0";"                             0";"                             6";"                             4";"                             0";"                             0";"                             0";"                             0";"                             2"
;"139 Udgifter i alt";"";"                         1.188";"                           935";"                           825";"                           898";"                         1.009";"                         1.028";"                         1.092";"                         1.142";"                         1.130";"                         1.001"
;"140 Overskud i alt";"";"                             1";"                            20";"                            16";"                            18";"                            22";"                            16";"                            15";"                            18";"                            29";"                            18"
;"140.1 Afvikling af opsamlet underskud";"";"                             0";"                             6";"                             4";"                             8";"                             5";"                             2";"                             2";"                             2";"                             4";"                             4"
;"140.2 Henlæggelser";"";"                             1";"                            14";"                            12";"                            10";"                            18";"                            14";"                            13";"                            16";"                            25";"                            14"
;"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"150 Udgifter og evt. overskud i alt";"";"                         1.189";"                           955";"                           841";"                           916";"                         1.031";"                         1.044";"                         1.107";"                         1.161";"                         1.159";"                         1.019"
"Syddanmark ";"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            22";"                            84";"                            61";"                            89";"                           195";"                           343";"                           425";"                           539";"                           584";"                           237"
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           210";"                           211";"                           218";"                           189";"                           162";"                           166";"                           156";"                           146";"                           132";"                           177"
;"106 Ejendomsskatter";"";"                            26";"                            39";"                            42";"                            35";"                            36";"                            40";"                            27";"                            24";"                            34";"                            36"
;"107 Vandafgift";"";"                            31";"                            10";"                            13";"                            14";"                            11";"                            11";"                            10";"                             4";"                             1";"                            11"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            32";"                            33";"                            31";"                            31";"                            32";"                            35";"                            32";"                            29";"                            26";"                            32"
;"110 Forsikringer";"";"                            10";"                            12";"                            12";"                            12";"                            13";"                            11";"                            11";"                            11";"                            10";"                            12"
;"111 Afdelingens energiforbrug";"";"                            13";"                             9";"                            12";"                            17";"                            17";"                            12";"                            17";"                            22";"                            12";"                            15"
