"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"Region";" ";" ";"                            14";"                            19";"                            36";"                            89";"                           186";"                           339";"                           458";"                           621";"                           392";"                           172"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           277";"                           307";"                           295";"                           255";"                           225";"                           220";"                           234";"                           196";"                           221";"                           253"
;"106 Ejendomsskatter";"";"                            63";"                            77";"                            73";"                            69";"                            61";"                            68";"                            61";"                            51";"                            47";"                            67"
;"107 Vandafgift";"";"                            36";"                            43";"                            49";"                            43";"                            48";"                            34";"                            36";"                            13";"                            23";"                            42"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"109 Renovation";"";"                            25";"                            28";"                            26";"                            26";"                            26";"                            29";"                            30";"                            26";"                            19";"                            27"
;"110 Forsikringer";"";"                            13";"                            14";"                            14";"                            14";"                            16";"                            14";"                            14";"                            12";"                            11";"                            14"
;"111 Afdelingens energiforbrug";"";"                            19";"                            19";"                            21";"                            24";"                            25";"                            25";"                            35";"                            36";"                            64";"                            24"
;"112 Bidrag til boligorganisationen";"";"                            57";"                            64";"                            53";"                            52";"                            48";"                            50";"                            58";"                            57";"                            56";"                            53"
;"112.1 Administrationsbidrag";"";"                            54";"                            61";"                            51";"                            50";"                            46";"                            48";"                            55";"                            55";"                            54";"                            51"
;"112.2 Dispositionsfond";"";"                             3";"                             2";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            63";"                            62";"                            59";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            26"
;"119.9 Variable udgifter i alt";"";"                           147";"                           155";"                           163";"                           151";"                           151";"                           154";"                           152";"                           144";"                           158";"                           154"
;"114 Renholdelse";"";"                            82";"                            95";"                            96";"                            90";"                            86";"                            87";"                            97";"                            87";"                            83";"                            90"
;"115 Almindelig vedligeholdelse";"";"                            45";"                            38";"                            43";"                            34";"                            35";"                            37";"                            31";"                            30";"                            65";"                            37"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             1";"                             2";"                             1";"                             1";"                             1";"                             3";"                             1";"                             1";"                             1";"                             1"
;"116.1 Afholdte udgifter";"";"                           116";"                           148";"                           118";"                           116";"                           104";"                           116";"                           106";"                            67";"                            24";"                           114"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -115";"                          -146";"                          -118";"                          -115";"                          -103";"                          -113";"                          -105";"                           -66";"                           -23";"                          -112"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             2";"                             1";"                             1";"                             0";"                             2";"                             1";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            20";"                            25";"                            19";"                            15";"                            18";"                            18";"                            20";"                            12";"                             1";"                            18"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -18";"                           -25";"                           -18";"                           -15";"                           -15";"                           -17";"                           -19";"                           -12";"                            -1";"                           -17"
;"118 Særlige aktiviteter";"";"                            10";"                            12";"                            15";"                            15";"                            16";"                            15";"                            12";"                            17";"                             4";"                            15"
;"119 Diverse udgifter";"";"                             7";"                             8";"                             8";"                            10";"                            11";"                            10";"                            11";"                            10";"                             5";"                             9"
;"124.8 Henlæggelser i alt";"";"                           176";"                           201";"                           172";"                           165";"                           166";"                           155";"                           139";"                           112";"                            83";"                           165"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           139";"                           157";"                           143";"                           127";"                           116";"                           113";"                           109";"                            86";"                            66";"                           126"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            11";"                            13";"                            12";"                             9";"                            16";"                            14";"                             9";"                            15";"                            12"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                            18";"                             7";"                             6";"                             9";"                             5";"                             6";"                             8";"                             2";"                             8"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             7";"                             2";"                             1";"                             3";"                             1";"                             1";"                             1";"                             0";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             9";"                            11";"                             6";"                             5";"                             6";"                             4";"                             5";"                             7";"                             2";"                             6"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                            14";"                            14";"                             8";"                             8";"                            14";"                            13";"                            10";"                             9";"                             0";"                            11"
;"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             1";"                            12";"                            18";"                             9";"                             0";"                             0";"                             0";"                             8"
;"137 Ekstraordinære udgifter i alt";"";"                           119";"                           113";"                           115";"                           142";"                           164";"                            59";"                            40";"                            42";"                           169";"                           116"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            86";"                            74";"                            87";"                            74";"                            50";"                            24";"                            13";"                             2";"                             0";"                            58"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             8";"                             9";"                             8";"                             7";"                             6";"                             5";"                             2";"                             2";"                             7"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             1";"                             6";"                            37";"                            78";"                            13";"                             2";"                             0";"                             0";"                            28"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129 Tab ved lejelejlighed m.v.";"";"                             2";"                             1";"                             1";"                             1";"                             2";"                             0";"                             1";"                             1";"                             7";"                             1"
;"129.1 Afholdte udgifter";"";"                             3";"                             3";"                             3";"                             2";"                             8";"                             2";"                             3";"                             6";"                             7";"                             4"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -2";"                            -3";"                            -1";"                            -6";"                            -1";"                            -2";"                            -5";"                            -0";"                            -3"
;"130 Tab ved fraflytning";"";"                             2";"                             2";"                             1";"                             2";"                             3";"                             2";"                             2";"                             2";"                             3";"                             2"
