"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"Region";" ";" ";"                            14";"                            19";"                            37";"                            88";"                           190";"                           341";"                           462";"                           639";"                           548";"                           176"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           299";"                           332";"                           309";"                           272";"                           230";"                           231";"                           247";"                           213";"                           211";"                           267"
;"106 Ejendomsskatter";"";"                            70";"                            84";"                            77";"                            73";"                            65";"                            72";"                            65";"                            55";"                            70";"                            71"
;"107 Vandafgift";"";"                            36";"                            44";"                            48";"                            45";"                            41";"                            35";"                            36";"                            15";"                             7";"                            41"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            28";"                            32";"                            29";"                            28";"                            26";"                            30";"                            31";"                            27";"                            22";"                            29"
;"110 Forsikringer";"";"                            21";"                            18";"                            17";"                            17";"                            19";"                            17";"                            17";"                            16";"                            16";"                            18"
;"111 Afdelingens energiforbrug";"";"                            19";"                            20";"                            21";"                            24";"                            25";"                            24";"                            35";"                            36";"                            39";"                            24"
;"112 Bidrag til boligorganisationen";"";"                            60";"                            70";"                            56";"                            57";"                            53";"                            53";"                            62";"                            64";"                            57";"                            57"
;"112.1 Administrationsbidrag";"";"                            57";"                            67";"                            54";"                            54";"                            50";"                            51";"                            59";"                            61";"                            54";"                            55"
;"112.2 Dispositionsfond";"";"                             2";"                             3";"                             1";"                             2";"                             2";"                             1";"                             2";"                             2";"                             3";"                             2"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            65";"                            65";"                            61";"                            29";"                             1";"                             0";"                             0";"                             0";"                             0";"                            27"
;"119.9 Variable udgifter i alt";"";"                           152";"                           150";"                           158";"                           153";"                           148";"                           146";"                           158";"                           148";"                           107";"                           152"
;"114 Renholdelse";"";"                            85";"                            97";"                            98";"                            92";"                            89";"                            88";"                           101";"                            91";"                            60";"                            93"
;"115 Almindelig vedligeholdelse";"";"                            48";"                            32";"                            36";"                            32";"                            31";"                            31";"                            31";"                            25";"                            34";"                            33"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             1";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             4";"                             1"
;"116.1 Afholdte udgifter";"";"                           141";"                           147";"                           157";"                           119";"                           110";"                           112";"                           114";"                            80";"                            28";"                           125"
;"116.2 Heraf dækkes af henlæggelser";"";"                          -141";"                          -147";"                          -156";"                          -118";"                          -109";"                          -111";"                          -113";"                           -79";"                           -25";"                          -124"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             0";"                             2";"                             0";"                             1";"                             0";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            20";"                            22";"                            20";"                            15";"                            17";"                            16";"                            19";"                            13";"                             3";"                            17"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -20";"                           -22";"                           -19";"                           -14";"                           -15";"                           -16";"                           -18";"                           -13";"                            -2";"                           -17"
;"118 Særlige aktiviteter";"";"                            11";"                            12";"                            14";"                            15";"                            15";"                            15";"                            12";"                            19";"                             3";"                            14"
;"119 Diverse udgifter";"";"                             7";"                             9";"                             9";"                            12";"                            11";"                            10";"                            12";"                            11";"                             6";"                            10"
;"124.8 Henlæggelser i alt";"";"                           192";"                           218";"                           199";"                           180";"                           169";"                           173";"                           160";"                           131";"                            82";"                           180"
