"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            17";"                            27";"                            36";"                            73";"                           172";"                           321";"                           424";"                           567";"                           561";"                           159"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           283";"                           280";"                           267";"                           232";"                           194";"                           221";"                           215";"                           177";"                           165";"                           231"
"106 Ejendomsskatter";"";"                            58";"                            53";"                            49";"                            47";"                            43";"                            57";"                            44";"                            32";"                            31";"                            47"
"107 Vandafgift";"";"                            32";"                            33";"                            36";"                            34";"                            27";"                            30";"                            26";"                            12";"                             4";"                            30"
"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             1";"                             1";"                             0";"                             2";"                             1";"                             0";"                             0";"                             1"
"109 Renovation";"";"                            30";"                            27";"                            25";"                            24";"                            23";"                            27";"                            27";"                            23";"                            21";"                            25"
"110 Forsikringer";"";"                            18";"                            15";"                            15";"                            15";"                            18";"                            16";"                            16";"                            13";"                            13";"                            16"
"111 Afdelingens energiforbrug";"";"                            20";"                            20";"                            21";"                            24";"                            26";"                            30";"                            34";"                            34";"                            33";"                            25"
"112 Bidrag til boligorganisationen";"";"                            63";"                            69";"                            61";"                            59";"                            55";"                            60";"                            67";"                            63";"                            62";"                            61"
"112.1 Administrationsbidrag";"";"                            58";"                            62";"                            55";"                            53";"                            50";"                            55";"                            61";"                            56";"                            56";"                            55"
"112.2 Dispositionsfond";"";"                             4";"                             6";"                             5";"                             5";"                             5";"                             4";"                             6";"                             6";"                             5";"                             5"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            61";"                            61";"                            60";"                            28";"                             1";"                             0";"                             0";"                             0";"                             0";"                            27"
"119.9 Variable udgifter i alt";"";"                           135";"                           142";"                           149";"                           145";"                           142";"                           148";"                           148";"                           133";"                           119";"                           144"
"114 Renholdelse";"";"                            88";"                            89";"                            92";"                            86";"                            87";"                            89";"                            94";"                            80";"                            67";"                            88"
"115 Almindelig vedligeholdelse";"";"                            29";"                            33";"                            36";"                            33";"                            34";"                            33";"                            32";"                            28";"                            30";"                            33"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             1";"                             1";"                             1";"                             2";"                             0";"                             1";"                             1";"                             2";"                             4";"                             1"
"116.1 Afholdte udgifter";"";"                           135";"                           116";"                           131";"                           111";"                            97";"                           106";"                           110";"                            86";"                            36";"                           109"
"116.2 Heraf dækkes af henlæggelser";"";"                          -134";"                          -115";"                          -130";"                          -109";"                           -96";"                          -105";"                          -109";"                           -84";"                           -32";"                          -108"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             0";"                             0";"                             0"
"117.1 Afholdte udgifter";"";"                            24";"                            23";"                            19";"                            16";"                            16";"                            16";"                            16";"                            13";"                             4";"                            17"
"117.2 Heraf dækkes af henlæggelser";"";"                           -24";"                           -22";"                           -19";"                           -16";"                           -15";"                           -15";"                           -16";"                           -12";"                            -4";"                           -17"
"118 Særlige aktiviteter";"";"                            11";"                            11";"                            13";"                            14";"                            11";"                            13";"                            10";"                            12";"                             6";"                            12"
"119 Diverse udgifter";"";"                             8";"                             8";"                             8";"                             9";"                             9";"                            11";"                            10";"                            10";"                            12";"                             9"
"124.8 Henlæggelser i alt";"";"                           208";"                           193";"                           196";"                           172";"                           184";"                           167";"                           158";"                           122";"                           102";"                           177"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           170";"                           154";"                           158";"                           136";"                           126";"                           131";"                           128";"                           100";"                            82";"                           137"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            18";"                            18";"                            17";"                            16";"                            13";"                            17";"                            17";"                            11";"                             8";"                            16"
