"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            18";"                            28";"                            41";"                            69";"                           166";"                           318";"                           434";"                           574";"                           615";"                           168"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           275";"                           277";"                           262";"                           222";"                           183";"                           218";"                           209";"                           175";"                           165";"                           223"
"106 Ejendomsskatter";"";"                            58";"                            54";"                            50";"                            48";"                            44";"                            61";"                            47";"                            34";"                            34";"                            48"
"107 Vandafgift";"";"                            29";"                            31";"                            33";"                            29";"                            21";"                            28";"                            24";"                            12";"                             4";"                            26"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"109 Renovation";"";"                            27";"                            28";"                            26";"                            25";"                            24";"                            27";"                            27";"                            24";"                            24";"                            26"
"110 Forsikringer";"";"                            18";"                            15";"                            15";"                            15";"                            16";"                            16";"                            16";"                            13";"                            12";"                            15"
"111 Afdelingens energiforbrug";"";"                            17";"                            18";"                            18";"                            20";"                            22";"                            25";"                            29";"                            30";"                            28";"                            21"
"112 Bidrag til boligorganisationen";"";"                            64";"                            68";"                            61";"                            59";"                            54";"                            61";"                            67";"                            62";"                            63";"                            60"
"112.1 Administrationsbidrag";"";"                            60";"                            63";"                            56";"                            54";"                            50";"                            57";"                            61";"                            57";"                            58";"                            56"
"112.2 Dispositionsfond";"";"                             3";"                             5";"                             3";"                             4";"                             3";"                             3";"                             4";"                             4";"                             4";"                             4"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            63";"                            63";"                            59";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            26"
"119.9 Variable udgifter i alt";"";"                           127";"                           136";"                           142";"                           140";"                           137";"                           140";"                           144";"                           129";"                           120";"                           138"
"114 Renholdelse";"";"                            88";"                            93";"                            94";"                            91";"                            89";"                            90";"                            97";"                            81";"                            70";"                            90"
"115 Almindelig vedligeholdelse";"";"                            19";"                            22";"                            27";"                            25";"                            26";"                            27";"                            24";"                            23";"                            25";"                            25"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             1";"                             0";"                             0";"                             0";"                             2";"                             1";"                             2";"                             1"
"116.1 Afholdte udgifter";"";"                           169";"                           150";"                           167";"                           177";"                           124";"                           134";"                           135";"                           108";"                            57";"                           147"
"116.2 Heraf dækkes af henlæggelser";"";"                          -169";"                          -149";"                          -166";"                          -177";"                          -124";"                          -134";"                          -133";"                          -107";"                           -55";"                          -146"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"117.1 Afholdte udgifter";"";"                            15";"                            17";"                            16";"                            15";"                            14";"                            14";"                            14";"                            13";"                             7";"                            14"
"117.2 Heraf dækkes af henlæggelser";"";"                           -15";"                           -17";"                           -16";"                           -15";"                           -13";"                           -13";"                           -14";"                           -13";"                            -7";"                           -14"
"118 Særlige aktiviteter";"";"                            11";"                            11";"                            12";"                            15";"                            12";"                            14";"                            12";"                            14";"                             9";"                            13"
"119 Diverse udgifter";"";"                             9";"                             8";"                             8";"                             9";"                             9";"                             8";"                            10";"                             9";"                            13";"                             9"
"124.8 Henlæggelser i alt";"";"                           295";"                           262";"                           257";"                           236";"                           237";"                           220";"                           206";"                           162";"                           120";"                           233"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           262";"                           228";"                           205";"                           188";"                           173";"                           180";"                           185";"                           138";"                           104";"                           188"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             8";"                            10";"                            12";"                            10";"                             9";"                             9";"                             9";"                             9";"                             8";"                            10"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            14";"                            11";"                             8";"                             7";"                             8";"                             4";"                             6";"                             6";"                             4";"                             8"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             3";"                             3";"                             2";"                             3";"                             1";"                             1";"                             1";"                             1";"                             2"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             8";"                             5";"                             5";"                             5";"                             3";"                             5";"                             5";"                             3";"                             6"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             3";"                             4";"                             3";"                             4";"                             4";"                             2";"                             3";"                             2";"                             3";"                             3"
"124 Andre henlæggelser (konto 406)";"";"                             8";"                            10";"                            30";"                            27";"                            43";"                            24";"                             4";"                             7";"                             1";"                            25"
"137 Ekstraordinære udgifter i alt";"";"                           139";"                           153";"                           160";"                           197";"                           240";"                            89";"                            51";"                            32";"                            21";"                           160"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           110";"                           109";"                           103";"                           109";"                            77";"                            35";"                            25";"                            12";"                             3";"                            81"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                            10";"                            10";"                            15";"                             8";"                             9";"                             5";"                             5";"                             3";"                             1";"                             9"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             6";"                            17";"                            29";"                            60";"                           128";"                            28";"                             9";"                             1";"                             0";"                            51"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             3";"                             0";"                             0"
"129.1 Afholdte udgifter";"";"                             2";"                             3";"                             3";"                             5";"                             5";"                             3";"                             4";"                             7";"                             4";"                             4"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -3";"                            -3";"                            -5";"                            -4";"                            -3";"                            -4";"                            -4";"                            -3";"                            -4"
"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"130.1 Afholdte udgifter";"";"                             6";"                             5";"                             5";"                             5";"                             7";"                             6";"                             5";"                             3";"                             1";"                             5"
"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -4";"                            -3";"                            -3";"                            -3";"                            -3";"                            -3";"                            -1";"                            -1";"                            -3"
