"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"Region";" ";" ";"                            14";"                            19";"                            36";"                            97";"                           191";"                           324";"                           406";"                           413";"                           151"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           212";"                           224";"                           215";"                           190";"                           167";"                           174";"                           177";"                           175";"                           191"
;"106 Ejendomsskatter";"";"                            39";"                            47";"                            45";"                            44";"                            38";"                            45";"                            41";"                            41";"                            43"
;"107 Vandafgift";"";"                            35";"                            37";"                            38";"                            36";"                            39";"                            38";"                            31";"                            26";"                            37"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            17";"                            21";"                            22";"                            21";"                            21";"                            24";"                            25";"                            28";"                            22"
;"110 Forsikringer";"";"                            12";"                             9";"                             9";"                             9";"                            10";"                             9";"                            10";"                             9";"                             9"
;"111 Afdelingens energiforbrug";"";"                            16";"                            15";"                            16";"                            19";"                            23";"                            20";"                            29";"                            25";"                            20"
;"112 Bidrag til boligorganisationen";"";"                            40";"                            43";"                            36";"                            37";"                            35";"                            37";"                            41";"                            47";"                            37"
;"112.1 Administrationsbidrag";"";"                            38";"                            42";"                            35";"                            35";"                            33";"                            36";"                            39";"                            45";"                            36"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            54";"                            51";"                            49";"                            23";"                             1";"                             0";"                             0";"                             0";"                            22"
;"119.9 Variable udgifter i alt";"";"                           104";"                           110";"                           120";"                           116";"                           110";"                           110";"                           108";"                           118";"                           113"
;"114 Renholdelse";"";"                            54";"                            64";"                            64";"                            61";"                            57";"                            58";"                            65";"                            67";"                            61"
;"115 Almindelig vedligeholdelse";"";"                            36";"                            31";"                            37";"                            34";"                            29";"                            28";"                            26";"                            22";"                            32"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0";"                             0";"                             5";"                             0"
;"116.1 Afholdte udgifter";"";"                            64";"                            91";"                            88";"                            74";"                            69";"                            68";"                            56";"                            41";"                            74"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -63";"                           -91";"                           -87";"                           -74";"                           -69";"                           -67";"                           -56";"                           -36";"                           -74"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            19";"                            22";"                            16";"                            13";"                            14";"                            15";"                            12";"                             6";"                            15"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -18";"                           -21";"                           -15";"                           -13";"                           -12";"                           -14";"                           -11";"                            -6";"                           -14"
;"118 Særlige aktiviteter";"";"                             8";"                             9";"                            11";"                            11";"                            13";"                            15";"                             8";"                            14";"                            11"
;"119 Diverse udgifter";"";"                             6";"                             6";"                             7";"                             9";"                            10";"                             8";"                             8";"                            10";"                             8"
;"124.8 Henlæggelser i alt";"";"                            95";"                           114";"                           111";"                           101";"                           103";"                            81";"                            80";"                            88";"                           100"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            71";"                            87";"                            89";"                            80";"                            73";"                            63";"                            64";"                            58";"                            77"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             8";"                             7";"                             8";"                            10";"                             7";"                            11";"                             7";"                             4";"                             8"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            11";"                            15";"                             8";"                             5";"                             6";"                             3";"                             6";"                            18";"                             7"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             5";"                             3";"                             1";"                             2";"                             0";"                             1";"                             1";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             8";"                            11";"                             6";"                             4";"                             5";"                             2";"                             5";"                            16";"                             5"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             5";"                             3";"                             3";"                             5";"                             4";"                             2";"                             8";"                             4"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             3";"                             2";"                            12";"                             1";"                             0";"                             0";"                             4"
;"137 Ekstraordinære udgifter i alt";"";"                            90";"                            89";"                            76";"                            82";"                            79";"                            21";"                            17";"                            27";"                            68"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            69";"                            61";"                            62";"                            40";"                            22";"                             4";"                             2";"                             0";"                            36"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             5";"                             8";"                             6";"                             7";"                             4";"                             2";"                             2";"                             4";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             1";"                            26";"                            36";"                             3";"                             0";"                             0";"                            14"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             2";"                             1";"                             0";"                             1";"                             3";"                             1";"                             0";"                             0";"                             1"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             2";"                             0"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -1";"                            -0"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"130.1 Afholdte udgifter";"";"                             4";"                             5";"                             4";"                             3";"                             5";"                             4";"                             2";"                             3";"                             4"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -5";"                            -3";"                            -3";"                            -4";"                            -4";"                            -2";"                            -3";"                            -3"
;"131 Andre renter";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             1";"                             1";"                             5";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                            12";"                            15";"                             3";"                             4";"                             6";"                             3";"                             5";"                             6";"                             5"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             3";"                             2";"                             3";"                             3";"                             3";"                             2";"                             3"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                            10";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                             0";"                             0";"                             0";"                            -0"
;"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             0";"                             1";"                             1";"                             0";"                             0";"                             1"
;"139 Udgifter i alt";"";"                           515";"                           555";"                           558";"                           585";"                           651";"                           710";"                           788";"                           822";"                           623"
;"140 Overskud i alt";"";"                            13";"                             9";"                             8";"                             8";"                             9";"                             8";"                            11";"                            42";"                             9"
