"Udgifter, gns. pr. kvm pr. år, kr.";;;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"Region";" ";" ";"                            14";"                            19";"                            36";"                            86";"                           188";"                           317";"                           397";"                           340";"                           145"
"Hovedstaden";"105.9 Nettokapitaludgifter (beboerbetaling)";"";;;;;;;;;;;;;;;;;;
;"113.9 Offentlige og andre faste udgifter i alt";"";"                           206";"                           215";"                           206";"                           185";"                           162";"                           167";"                           169";"                           162";"                           184"
;"106 Ejendomsskatter";"";"                            36";"                            44";"                            43";"                            42";"                            36";"                            42";"                            38";"                            38";"                            40"
;"107 Vandafgift";"";"                            35";"                            38";"                            36";"                            36";"                            40";"                            38";"                            32";"                            25";"                            37"
;"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"109 Renovation";"";"                            16";"                            20";"                            21";"                            21";"                            21";"                            23";"                            24";"                            27";"                            21"
;"110 Forsikringer";"";"                            13";"                             8";"                             8";"                             9";"                             9";"                             9";"                             9";"                            11";"                             9"
;"111 Afdelingens energiforbrug";"";"                            14";"                            14";"                            15";"                            18";"                            21";"                            18";"                            27";"                            14";"                            18"
;"112 Bidrag til boligorganisationen";"";"                            39";"                            41";"                            35";"                            35";"                            34";"                            36";"                            39";"                            47";"                            36"
;"112.1 Administrationsbidrag";"";"                            37";"                            41";"                            34";"                            34";"                            32";"                            34";"                            37";"                            45";"                            35"
;"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             1";"                             2";"                             2";"                             2";"                             1"
;"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            52";"                            50";"                            48";"                            23";"                             1";"                             0";"                             0";"                             0";"                            22"
;"119.9 Variable udgifter i alt";"";"                           100";"                           108";"                           118";"                           111";"                           107";"                           106";"                           105";"                           107";"                           110"
;"114 Renholdelse";"";"                            53";"                            61";"                            62";"                            59";"                            54";"                            57";"                            62";"                            65";"                            58"
;"115 Almindelig vedligeholdelse";"";"                            34";"                            32";"                            38";"                            33";"                            29";"                            28";"                            25";"                            19";"                            32"
;"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             0"
;"116.1 Afholdte udgifter";"";"                            62";"                            94";"                            84";"                            71";"                            70";"                            63";"                            49";"                            23";"                            72"
;"116.2 Heraf dækkes af henlæggelser";"";"                           -62";"                           -93";"                           -84";"                           -71";"                           -69";"                           -62";"                           -48";"                           -23";"                           -72"
;"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
;"117.1 Afholdte udgifter";"";"                            18";"                            20";"                            16";"                            13";"                            14";"                            14";"                            12";"                             6";"                            14"
;"117.2 Heraf dækkes af henlæggelser";"";"                           -17";"                           -20";"                           -15";"                           -12";"                           -12";"                           -13";"                           -11";"                            -6";"                           -14"
;"118 Særlige aktiviteter";"";"                             7";"                             8";"                            10";"                            10";"                            13";"                            12";"                             8";"                             9";"                            10"
;"119 Diverse udgifter";"";"                             6";"                             7";"                             7";"                             8";"                             9";"                             8";"                             9";"                            15";"                             8"
;"124.8 Henlæggelser i alt";"";"                            91";"                           108";"                           103";"                            95";"                            94";"                            78";"                            75";"                           106";"                            94"
;"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            68";"                            81";"                            85";"                            77";"                            70";"                            59";"                            60";"                            70";"                            73"
;"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             8";"                             7";"                             7";"                             9";"                             7";"                            12";"                             6";"                             3";"                             8"
;"122 Istandsættelse ved fraflytning. B-ordning";"";"                            11";"                            15";"                             8";"                             5";"                             6";"                             2";"                             6";"                            22";"                             7"
;"122.1 Fælleskonto (konto 403)";"";"                             3";"                             5";"                             2";"                             1";"                             2";"                             0";"                             1";"                             1";"                             2"
;"122.2 Indvendig vedligeholdelse (konto 404)";"";"                             8";"                            11";"                             5";"                             4";"                             5";"                             2";"                             5";"                            21";"                             5"
;"123 Tab ved fraflytninger mv. (konto 405)";"";"                             4";"                             4";"                             3";"                             3";"                             5";"                             4";"                             2";"                            11";"                             4"
;"124 Andre henlæggelser (konto 406)";"";"                             0";"                             0";"                             0";"                             0";"                             6";"                             1";"                             0";"                             0";"                             2"
;"137 Ekstraordinære udgifter i alt";"";"                            70";"                            71";"                            69";"                            83";"                            71";"                            16";"                            11";"                            15";"                            61"
;"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            63";"                            61";"                            58";"                            44";"                            21";"                             4";"                             2";"                             0";"                            35"
;"126 Afskrivning på forbedringsarbejder m.v.";"";"                             4";"                             7";"                             6";"                             8";"                             4";"                             2";"                             2";"                             5";"                             5"
;"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             0";"                             0";"                             1";"                            26";"                            35";"                             3";"                             0";"                             0";"                            14"
;"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             1";"                             3";"                             1";"                             0";"                             0";"                             1"
;"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"129.1 Afholdte udgifter";"";"                             0";"                             0";"                             0";"                             0";"                             1";"                             0";"                             0";"                             2";"                             1"
;"129.2 Dækket af dispositionsfonden m.v.";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -1";"                            -0";"                            -0";"                            -2";"                            -0"
;"130 Tab ved fraflytning";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"130.1 Afholdte udgifter";"";"                             4";"                             5";"                             3";"                             3";"                             5";"                             4";"                             2";"                             5";"                             4"
;"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -4";"                            -2";"                            -2";"                            -5";"                            -4";"                            -2";"                            -5";"                            -3"
;"131 Andre renter";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             5";"                             1"
;"132 Ydelser vedr. driftsstøtte";"";"                             0";"                             0";"                             0";"                             0";"                             2";"                             0";"                             0";"                             0";"                             0"
;"133 Afvikling af underskud og underfinansiering i alt";"";"                             0";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
;"134 Korrektion vedr. tidligere år";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             2";"                             3";"                             2";"                             1"
;"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
;"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
