"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            17";"                            26";"                            36";"                            73";"                           170";"                           317";"                           422";"                           551";"                           487";"                           151"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           274";"                           272";"                           262";"                           226";"                           195";"                           210";"                           208";"                           171";"                           162";"                           226"
"106 Ejendomsskatter";"";"                            55";"                            50";"                            46";"                            44";"                            41";"                            50";"                            41";"                            31";"                            34";"                            44"
"107 Vandafgift";"";"                            35";"                            36";"                            38";"                            36";"                            32";"                            32";"                            28";"                            11";"                             6";"                            33"
"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             0";"                             0";"                             1"
"109 Renovation";"";"                            28";"                            27";"                            25";"                            24";"                            25";"                            26";"                            27";"                            23";"                            20";"                            25"
"110 Forsikringer";"";"                            18";"                            15";"                            15";"                            15";"                            17";"                            15";"                            15";"                            13";"                            12";"                            15"
"111 Afdelingens energiforbrug";"";"                            19";"                            20";"                            21";"                            24";"                            27";"                            31";"                            35";"                            34";"                            36";"                            25"
"112 Bidrag til boligorganisationen";"";"                            59";"                            63";"                            56";"                            54";"                            51";"                            54";"                            62";"                            59";"                            54";"                            56"
"112.1 Administrationsbidrag";"";"                            56";"                            60";"                            53";"                            51";"                            49";"                            52";"                            59";"                            55";"                            51";"                            53"
"112.2 Dispositionsfond";"";"                             2";"                             2";"                             2";"                             2";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            59";"                            60";"                            60";"                            28";"                             1";"                             0";"                             0";"                             0";"                             0";"                            27"
"119.9 Variable udgifter i alt";"";"                           150";"                           142";"                           146";"                           144";"                           142";"                           143";"                           146";"                           131";"                           116";"                           143"
"114 Renholdelse";"";"                            85";"                            87";"                            90";"                            84";"                            83";"                            86";"                            91";"                            78";"                            64";"                            85"
"115 Almindelig vedligeholdelse";"";"                            46";"                            36";"                            36";"                            34";"                            35";"                            35";"                            34";"                            28";"                            32";"                            35"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             4";"                             1"
"116.1 Afholdte udgifter";"";"                           127";"                           117";"                           128";"                            99";"                            87";"                            96";"                           101";"                            65";"                            21";"                           102"
"116.2 Heraf dækkes af henlæggelser";"";"                          -126";"                          -117";"                          -127";"                           -98";"                           -86";"                           -95";"                          -100";"                           -63";"                           -17";"                          -101"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             0";"                             2";"                             0";"                             0";"                             1";"                             0";"                             1"
"117.1 Afholdte udgifter";"";"                            20";"                            20";"                            21";"                            18";"                            20";"                            18";"                            18";"                            13";"                             3";"                            19"
"117.2 Heraf dækkes af henlæggelser";"";"                           -20";"                           -20";"                           -20";"                           -18";"                           -18";"                           -18";"                           -18";"                           -12";"                            -3";"                           -18"
"118 Særlige aktiviteter";"";"                            11";"                            10";"                            13";"                            15";"                            12";"                            13";"                            10";"                            13";"                             6";"                            13"
"119 Diverse udgifter";"";"                             7";"                             7";"                             7";"                             9";"                             9";"                             8";"                            10";"                            10";"                            10";"                             8"
"124.8 Henlæggelser i alt";"";"                           186";"                           174";"                           172";"                           155";"                           158";"                           154";"                           140";"                           109";"                            88";"                           158"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           147";"                           137";"                           136";"                           118";"                           111";"                           108";"                           108";"                            84";"                            67";"                           119"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            11";"                            15";"                            18";"                            17";"                            14";"                            17";"                            16";"                            10";"                            12";"                            15"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            14";"                            12";"                             8";"                             7";"                             8";"                             5";"                             6";"                             7";"                             3";"                             8"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             5";"                             3";"                             2";"                             3";"                             1";"                             1";"                             1";"                             1";"                             2"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            11";"                             7";"                             5";"                             5";"                             5";"                             4";"                             5";"                             6";"                             2";"                             5"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                            13";"                            10";"                             7";"                             8";"                            12";"                            12";"                            10";"                             7";"                             5";"                             9"
"124 Andre henlæggelser (konto 406)";"";"                             1";"                             1";"                             4";"                             6";"                            14";"                            12";"                             1";"                             1";"                             2";"                             6"
"137 Ekstraordinære udgifter i alt";"";"                           140";"                           129";"                           122";"                           150";"                           174";"                            56";"                            48";"                            35";"                            69";"                           127"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           109";"                           100";"                            95";"                            91";"                            64";"                            26";"                            20";"                             7";"                             4";"                            73"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                            10";"                             7";"                            10";"                             8";"                             9";"                             5";"                             4";"                             3";"                             3";"                             8"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             2";"                             4";"                             8";"                            34";"                            73";"                            10";"                             6";"                             0";"                             0";"                            28"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             1";"                             1";"                             2";"                             3";"                             1";"                             3";"                             4";"                             9";"                             2"
"129.1 Afholdte udgifter";"";"                             2";"                             4";"                             4";"                             6";"                            13";"                             7";"                             8";"                            11";"                            28";"                             8"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -2";"                            -3";"                            -3";"                            -4";"                           -10";"                            -6";"                            -5";"                            -8";"                           -19";"                            -6"
"130 Tab ved fraflytning";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             2";"                             1";"                             0";"                             1"
"130.1 Afholdte udgifter";"";"                            12";"                            10";"                             7";"                             9";"                            14";"                            12";"                             9";"                             6";"                             1";"                            10"
"130.2 Heraf dækkes af henlæggelser";"";"                           -12";"                            -9";"                            -6";"                            -8";"                           -12";"                           -11";"                            -7";"                            -4";"                            -1";"                            -9"
"131 Andre renter";"";"                             1";"                             1";"                             1";"                             2";"                             3";"                             1";"                             1";"                             3";"                            32";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                            10";"                            11";"                             4";"                             4";"                             4";"                             5";"                             5";"                             2";"                             0";"                             5"
