"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            11";"                            23";"                            34";"                            76";"                           171";"                           318";"                           394";"                           500";"                           143"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           230";"                           231";"                           227";"                           200";"                           170";"                           180";"                           172";"                           138";"                           196"
"106 Ejendomsskatter";"";"                            41";"                            38";"                            35";"                            35";"                            32";"                            38";"                            30";"                            23";"                            34"
"107 Vandafgift";"";"                            38";"                            36";"                            38";"                            38";"                            35";"                            32";"                            27";"                            11";"                            35"
"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
"109 Renovation";"";"                            20";"                            23";"                            23";"                            23";"                            24";"                            25";"                            24";"                            22";"                            23"
"110 Forsikringer";"";"                            10";"                            11";"                            11";"                            12";"                            13";"                            12";"                            11";"                            10";"                            12"
"111 Afdelingens energiforbrug";"";"                            18";"                            17";"                            19";"                            22";"                            25";"                            27";"                            31";"                            27";"                            23"
"112 Bidrag til boligorganisationen";"";"                            46";"                            50";"                            45";"                            44";"                            40";"                            45";"                            48";"                            45";"                            44"
"112.1 Administrationsbidrag";"";"                            44";"                            48";"                            43";"                            42";"                            39";"                            43";"                            46";"                            43";"                            43"
"112.2 Dispositionsfond";"";"                             2";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            56";"                            56";"                            56";"                            26";"                             1";"                             0";"                             0";"                             0";"                            25"
"119.9 Variable udgifter i alt";"";"                           126";"                           127";"                           130";"                           128";"                           129";"                           129";"                           130";"                           119";"                           128"
"114 Renholdelse";"";"                            71";"                            73";"                            75";"                            73";"                            72";"                            72";"                            75";"                            64";"                            73"
"115 Almindelig vedligeholdelse";"";"                            39";"                            37";"                            36";"                            35";"                            35";"                            32";"                            30";"                            26";"                            35"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1"
"116.1 Afholdte udgifter";"";"                           103";"                           102";"                           103";"                            92";"                            83";"                            79";"                            77";"                            50";"                            90"
"116.2 Heraf dækkes af henlæggelser";"";"                          -103";"                          -101";"                          -102";"                           -92";"                           -83";"                           -78";"                           -76";"                           -48";"                           -89"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
"117.1 Afholdte udgifter";"";"                            20";"                            23";"                            22";"                            20";"                            20";"                            19";"                            17";"                             9";"                            20"
"117.2 Heraf dækkes af henlæggelser";"";"                           -20";"                           -22";"                           -21";"                           -20";"                           -18";"                           -18";"                           -16";"                            -8";"                           -19"
"118 Særlige aktiviteter";"";"                            10";"                             9";"                            12";"                            13";"                            11";"                            15";"                            15";"                            17";"                            12"
"119 Diverse udgifter";"";"                             6";"                             6";"                             6";"                             8";"                             8";"                             7";"                             8";"                             9";"                             7"
"124.8 Henlæggelser i alt";"";"                           144";"                           137";"                           132";"                           124";"                           137";"                           116";"                           101";"                            73";"                           126"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           114";"                           107";"                           104";"                            93";"                            88";"                            82";"                            79";"                            55";"                            93"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            10";"                            14";"                            16";"                            16";"                            14";"                            19";"                            12";"                             8";"                            15"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            12";"                            11";"                             7";"                             6";"                             7";"                             4";"                             5";"                             6";"                             7"
"122.1 Fælleskonto (konto 403)";"";"                             2";"                             3";"                             2";"                             1";"                             2";"                             1";"                             1";"                             1";"                             2"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             8";"                             5";"                             4";"                             5";"                             3";"                             5";"                             5";"                             5"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             7";"                             6";"                             4";"                             5";"                             7";"                             7";"                             5";"                             4";"                             5"
"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             1";"                             4";"                            23";"                             4";"                             0";"                             1";"                             7"
"137 Ekstraordinære udgifter i alt";"";"                           122";"                           105";"                            98";"                           105";"                           119";"                            36";"                            29";"                            21";"                            93"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                            98";"                            81";"                            79";"                            63";"                            47";"                            11";"                            12";"                             3";"                            55"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             3";"                             6";"                             8";"                             6";"                             6";"                             3";"                             3";"                             2";"                             6"
"127 Ydelser vedr. lån til bygningsrenovering m.v.";"";"                             1";"                             3";"                             5";"                            25";"                            47";"                             7";"                             1";"                            -0";"                            19"
"128 Ydelse vedr. lån til ombygning (konto 303.3)";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"129 Tab ved lejelejlighed m.v.";"";"                             0";"                             0";"                             0";"                             1";"                             2";"                             0";"                             1";"                             2";"                             1"
"129.1 Afholdte udgifter";"";"                             1";"                             1";"                             1";"                             3";"                             4";"                             2";"                             3";"                             4";"                             3"
"129.2 Dækket af dispositionsfonden m.v.";"";"                            -1";"                            -1";"                            -1";"                            -2";"                            -2";"                            -2";"                            -2";"                            -3";"                            -2"
"130 Tab ved fraflytning";"";"                             0";"                             1";"                             0";"                             1";"                             2";"                             1";"                             1";"                             1";"                             1"
"130.1 Afholdte udgifter";"";"                             5";"                             6";"                             4";"                             5";"                             8";"                             7";"                             4";"                             3";"                             6"
"130.2 Heraf dækkes af henlæggelser";"";"                            -4";"                            -5";"                            -4";"                            -5";"                            -6";"                            -6";"                            -4";"                            -2";"                            -5"
"131 Andre renter";"";"                             2";"                             1";"                             1";"                             2";"                             4";"                             1";"                             1";"                             4";"                             2"
"132 Ydelser vedr. driftsstøtte";"";"                            11";"                            11";"                             2";"                             3";"                             4";"                             4";"                             4";"                             2";"                             4"
"133 Afvikling af underskud og underfinansiering i alt";"";"                             1";"                             1";"                             1";"                             1";"                             2";"                             4";"                             4";"                             5";"                             2"
"134 Korrektion vedr. tidligere år";"";"                             6";"                             1";"                             1";"                             4";"                             3";"                             3";"                             2";"                             3";"                             3"
"135 Godtgørelse til fraflyttede lejere";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.1 Udbetalt godtgørelse";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"135.2 Heraf overført til afvikling ved huslejeforhøjelse (konto 303.4)";"";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0";"                            -0"
"136 Beboerrådgivere m.v.";"";"                             1";"                             0";"                             0";"                             1";"                             3";"                             1";"                             1";"                             0";"                             1"
"139 Udgifter i alt";"";"                           633";"                           623";"                           622";"                           634";"                           726";"                           778";"                           826";"                           852";"                           686"
"140 Overskud i alt";"";"                            55";"                            11";"                            14";"                            12";"                            12";"                            11";"                            17";"                            19";"                            14"
"140.1 Afvikling af opsamlet underskud";"";"                            11";"                             2";"                             2";"                             3";"                             2";"                             3";"                             4";"                             4";"                             3"
"140.2 Henlæggelser";"";"                            44";"                            10";"                            11";"                             9";"                             9";"                             8";"                            12";"                            15";"                            11"
"140.3 Overførsel til boligorganisationens dispositionsfond";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"150 Udgifter og evt. overskud i alt";"";"                           689";"                           634";"                           636";"                           646";"                           738";"                           789";"                           843";"                           870";"                           701"

