"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             7";"                            20";"                            33";"                            82";"                           176";"                           300";"                           367";"                           383";"                           129"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           197";"                           195";"                           189";"                           168";"                           146";"                           158";"                           150";"                           139";"                           168"
"106 Ejendomsskatter";"";"                            30";"                            30";"                            28";"                            28";"                            25";"                            30";"                            25";"                            24";"                            27"
"107 Vandafgift";"";"                            32";"                            32";"                            32";"                            32";"                            32";"                            33";"                            24";"                            19";"                            32"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
"109 Renovation";"";"                            18";"                            20";"                            20";"                            20";"                            21";"                            21";"                            21";"                            21";"                            20"
"110 Forsikringer";"";"                            10";"                             7";"                             8";"                             8";"                             9";"                             9";"                             8";"                             8";"                             8"
"111 Afdelingens energiforbrug";"";"                            16";"                            15";"                            16";"                            19";"                            23";"                            25";"                            29";"                            26";"                            20"
"112 Bidrag til boligorganisationen";"";"                            40";"                            41";"                            36";"                            36";"                            34";"                            39";"                            41";"                            42";"                            37"
"112.1 Administrationsbidrag";"";"                            38";"                            40";"                            35";"                            35";"                            33";"                            37";"                            39";"                            40";"                            36"
"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             1";"                             1";"                             2";"                             2";"                             2";"                             1"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            50";"                            49";"                            48";"                            24";"                             1";"                             0";"                             0";"                             0";"                            23"
"119.9 Variable udgifter i alt";"";"                           101";"                           105";"                           109";"                           106";"                           100";"                           104";"                           100";"                           101";"                           104"
"114 Renholdelse";"";"                            54";"                            57";"                            59";"                            56";"                            54";"                            56";"                            59";"                            56";"                            56"
