"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                             7";"                            20";"                            33";"                            80";"                           174";"                           307";"                           373";"                           431";"                           134"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           205";"                           207";"                           201";"                           178";"                           156";"                           165";"                           160";"                           133";"                           178"
"106 Ejendomsskatter";"";"                            34";"                            33";"                            30";"                            30";"                            27";"                            33";"                            28";"                            23";"                            29"
"107 Vandafgift";"";"                            31";"                            31";"                            33";"                            33";"                            34";"                            31";"                            24";"                            12";"                            32"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
"109 Renovation";"";"                            19";"                            21";"                            21";"                            21";"                            21";"                            22";"                            23";"                            20";"                            21"
"110 Forsikringer";"";"                            11";"                            10";"                            10";"                            11";"                            13";"                            12";"                            11";"                             9";"                            11"
"111 Afdelingens energiforbrug";"";"                            16";"                            16";"                            16";"                            19";"                            23";"                            25";"                            29";"                            26";"                            20"
"112 Bidrag til boligorganisationen";"";"                            44";"                            45";"                            39";"                            39";"                            37";"                            41";"                            44";"                            42";"                            40"
"112.1 Administrationsbidrag";"";"                            42";"                            43";"                            38";"                            37";"                            35";"                            40";"                            43";"                            40";"                            38"
"112.2 Dispositionsfond";"";"                             2";"                             1";"                             1";"                             2";"                             2";"                             2";"                             2";"                             2";"                             2"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            50";"                            51";"                            50";"                            24";"                             1";"                             0";"                             0";"                             0";"                            23"
"119.9 Variable udgifter i alt";"";"                           108";"                           113";"                           117";"                           112";"                           111";"                           115";"                           108";"                           103";"                           112"
"114 Renholdelse";"";"                            59";"                            63";"                            65";"                            61";"                            60";"                            62";"                            65";"                            56";"                            62"
"115 Almindelig vedligeholdelse";"";"                            34";"                            35";"                            34";"                            33";"                            32";"                            31";"                            28";"                            26";"                            33"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             0";"                             0";"                             1";"                             0";"                             0";"                             1";"                             0";"                             1";"                             1"
"116.1 Afholdte udgifter";"";"                            74";"                            78";"                            82";"                            76";"                            72";"                            62";"                            58";"                            26";"                            73"
"116.2 Heraf dækkes af henlæggelser";"";"                           -74";"                           -77";"                           -82";"                           -76";"                           -71";"                           -61";"                           -57";"                           -25";"                           -72"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             1";"                             1";"                             1";"                             1";"                             2";"                             1";"                             1";"                             0";"                             1"
"117.1 Afholdte udgifter";"";"                            21";"                            22";"                            21";"                            20";"                            19";"                            18";"                            14";"                             6";"                            19"
"117.2 Heraf dækkes af henlæggelser";"";"                           -21";"                           -21";"                           -19";"                           -19";"                           -17";"                           -17";"                           -14";"                            -6";"                           -18"
"118 Særlige aktiviteter";"";"                             8";"                             8";"                            10";"                            10";"                             8";"                            13";"                             7";"                            10";"                            10"
"119 Diverse udgifter";"";"                             6";"                             6";"                             6";"                             7";"                             7";"                             6";"                             7";"                             9";"                             7"
"124.8 Henlæggelser i alt";"";"                           109";"                           112";"                           111";"                           101";"                           101";"                            85";"                            83";"                            75";"                           101"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                            81";"                            86";"                            86";"                            77";"                            71";"                            61";"                            66";"                            55";"                            76"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                             8";"                            12";"                            13";"                            14";"                            11";"                            13";"                             9";"                             8";"                            12"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            13";"                            10";"                             7";"                             5";"                             5";"                             4";"                             5";"                             7";"                             6"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             3";"                             2";"                             1";"                             1";"                             1";"                             1";"                             1";"                             1"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            10";"                             7";"                             5";"                             4";"                             4";"                             3";"                             5";"                             7";"                             5"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                             5";"                             4";"                             3";"                             3";"                             5";"                             4";"                             2";"                             3";"                             4"
"124 Andre henlæggelser (konto 406)";"";"                             1";"                             0";"                             3";"                             1";"                             9";"                             3";"                             1";"                             1";"                             3"
