"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            17";"                            27";"                            36";"                            73";"                           173";"                           326";"                           424";"                           560";"                           540";"                           157"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           279";"                           277";"                           266";"                           229";"                           196";"                           218";"                           212";"                           173";"                           157";"                           229"
"106 Ejendomsskatter";"";"                            56";"                            51";"                            48";"                            46";"                            42";"                            54";"                            42";"                            31";"                            29";"                            46"
"107 Vandafgift";"";"                            33";"                            34";"                            37";"                            34";"                            30";"                            30";"                            26";"                            11";"                             4";"                            31"
"108 Kloakbidrag, vejafgift m.v.";"";"                             1";"                             0";"                             1";"                             1";"                             1";"                             2";"                             1";"                             0";"                             0";"                             1"
"109 Renovation";"";"                            30";"                            27";"                            25";"                            24";"                            24";"                            27";"                            27";"                            23";"                            21";"                            25"
"110 Forsikringer";"";"                            19";"                            15";"                            15";"                            15";"                            17";"                            15";"                            15";"                            13";"                            12";"                            16"
"111 Afdelingens energiforbrug";"";"                            19";"                            20";"                            21";"                            24";"                            27";"                            31";"                            34";"                            34";"                            32";"                            25"
"112 Bidrag til boligorganisationen";"";"                            62";"                            68";"                            59";"                            57";"                            54";"                            59";"                            66";"                            61";"                            59";"                            59"
"112.1 Administrationsbidrag";"";"                            57";"                            61";"                            54";"                            52";"                            49";"                            54";"                            60";"                            56";"                            54";"                            54"
"112.2 Dispositionsfond";"";"                             4";"                             6";"                             4";"                             4";"                             4";"                             4";"                             5";"                             5";"                             4";"                             4"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            60";"                            61";"                            60";"                            28";"                             1";"                             0";"                             0";"                             0";"                             0";"                            27"
"119.9 Variable udgifter i alt";"";"                           138";"                           141";"                           147";"                           141";"                           145";"                           146";"                           148";"                           132";"                           121";"                           143"
"114 Renholdelse";"";"                            86";"                            87";"                            90";"                            84";"                            84";"                            87";"                            91";"                            78";"                            65";"                            85"
"115 Almindelig vedligeholdelse";"";"                            33";"                            34";"                            36";"                            34";"                            36";"                            36";"                            33";"                            30";"                            37";"                            35"
"116 Planlagt periodisk vedligeholdese og fornyelser";"";"                             1";"                             1";"                             0";"                             1";"                             1";"                             1";"                             2";"                             2";"                             4";"                             1"
"116.1 Afholdte udgifter";"";"                           132";"                           118";"                           111";"                           107";"                            91";"                           105";"                           107";"                            73";"                            23";"                           103"
"116.2 Heraf dækkes af henlæggelser";"";"                          -131";"                          -117";"                          -111";"                          -106";"                           -91";"                          -104";"                          -105";"                           -71";"                           -20";"                          -102"
"117 Istandsættelse ved fraflytning m.v.: (A/B-ordning)";"";"                             0";"                             1";"                             0";"                             0";"                             1";"                             1";"                             1";"                             1";"                             0";"                             1"
"117.1 Afholdte udgifter";"";"                            24";"                            24";"                            18";"                            16";"                            18";"                            17";"                            18";"                            12";"                             3";"                            18"
"117.2 Heraf dækkes af henlæggelser";"";"                           -24";"                           -23";"                           -18";"                           -15";"                           -16";"                           -16";"                           -17";"                           -12";"                            -3";"                           -17"
"118 Særlige aktiviteter";"";"                            11";"                            11";"                            13";"                            14";"                            12";"                            14";"                            10";"                            13";"                             5";"                            12"
"119 Diverse udgifter";"";"                             8";"                             7";"                             7";"                             9";"                            11";"                             8";"                            11";"                            10";"                            10";"                             9"
"124.8 Henlæggelser i alt";"";"                           203";"                           186";"                           189";"                           168";"                           171";"                           157";"                           150";"                           119";"                           106";"                           170"
"120 Planlagt og periodisk vedligeholdelse og fornyelser (konto 401)";"";"                           158";"                           144";"                           148";"                           128";"                           119";"                           122";"                           121";"                            93";"                            74";"                           129"
"121 Istandsættelse ved fraflytning. A-ordning (konto 402)";"";"                            18";"                            20";"                            18";"                            17";"                            14";"                            17";"                            16";"                            12";"                            10";"                            17"
"122 Istandsættelse ved fraflytning. B-ordning";"";"                            14";"                            12";"                             8";"                             7";"                             8";"                             5";"                             6";"                             7";"                             4";"                             8"
"122.1 Fælleskonto (konto 403)";"";"                             4";"                             5";"                             3";"                             2";"                             3";"                             1";"                             1";"                             1";"                             1";"                             3"
"122.2 Indvendig vedligeholdelse (konto 404)";"";"                            11";"                             7";"                             5";"                             5";"                             5";"                             4";"                             5";"                             6";"                             3";"                             5"
"123 Tab ved fraflytninger mv. (konto 405)";"";"                            12";"                             8";"                             6";"                             7";"                             8";"                             8";"                             7";"                             6";"                             6";"                             7"
"124 Andre henlæggelser (konto 406)";"";"                             0";"                             3";"                             8";"                             9";"                            22";"                             5";"                             0";"                             1";"                            13";"                            10"
"137 Ekstraordinære udgifter i alt";"";"                           136";"                           134";"                           126";"                           158";"                           175";"                            59";"                            46";"                            33";"                            39";"                           129"
"125 Ydelse vedr. lån til forbedringsarbejder m.v.";"";"                           109";"                           102";"                            97";"                            96";"                            66";"                            29";"                            22";"                            12";"                             3";"                            75"
"126 Afskrivning på forbedringsarbejder m.v.";"";"                             9";"                             9";"                            11";"                             9";"                             9";"                             5";"                             3";"                             3";"                             1";"                             8"
