"Udgifter, gns. pr. kvm pr. år, kr.";;"Ibrugtagelsesår";;;;;;;;;"Alle"
;"Før 1940 ";"1940-1949";"1950-1959";"1960-1969";"1970-1979";"1980-1989";"1990-1999";"2000-2009";"2010-    ";;
"105.9 Nettokapitaludgifter (beboerbetaling)";"";"                            19";"                            27";"                            40";"                            70";"                           164";"                           320";"                           430";"                           572";"                           608";"                           164"
"113.9 Offentlige og andre faste udgifter i alt";"";"                           277";"                           278";"                           262";"                           224";"                           184";"                           219";"                           211";"                           176";"                           164";"                           224"
"106 Ejendomsskatter";"";"                            59";"                            54";"                            50";"                            48";"                            44";"                            60";"                            46";"                            33";"                            32";"                            48"
"107 Vandafgift";"";"                            32";"                            32";"                            34";"                            31";"                            22";"                            28";"                            25";"                            12";"                             4";"                            27"
"108 Kloakbidrag, vejafgift m.v.";"";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0";"                             0"
"109 Renovation";"";"                            26";"                            27";"                            25";"                            24";"                            24";"                            27";"                            27";"                            24";"                            23";"                            25"
"110 Forsikringer";"";"                            17";"                            15";"                            14";"                            14";"                            15";"                            15";"                            15";"                            12";"                            12";"                            15"
"111 Afdelingens energiforbrug";"";"                            18";"                            19";"                            20";"                            21";"                            23";"                            28";"                            31";"                            32";"                            30";"                            23"
"112 Bidrag til boligorganisationen";"";"                            64";"                            69";"                            61";"                            59";"                            55";"                            60";"                            67";"                            62";"                            63";"                            60"
"112.1 Administrationsbidrag";"";"                            60";"                            63";"                            56";"                            54";"                            50";"                            57";"                            62";"                            57";"                            57";"                            56"
"112.2 Dispositionsfond";"";"                             3";"                             5";"                             3";"                             4";"                             4";"                             3";"                             4";"                             4";"                             4";"                             4"
"113 Afdelingens pligtmæssige bidrag til byggefonden";"";"                            63";"                            63";"                            59";"                            27";"                             1";"                             0";"                             0";"                             0";"                             0";"                            26"
"119.9 Variable udgifter i alt";"";"                           128";"                           140";"                           144";"                           144";"                           138";"                           143";"                           148";"                           129";"                           120";"                           140"
"114 Renholdelse";"";"                            88";"                            93";"                            94";"                            91";"                            89";"                            92";"                            97";"                            82";"                            71";"                            90"
"115 Almindelig vedligeholdelse";"";"                            22";"                            26";"                            29";"                            28";"                            27";"                            27";"                            29";"                            23";"                            27";"                            27"
